ratio (timeFMB / timeSAT)
run	countInter	countNoInter	minInter	avgInter	maxInter	minNoInter	avgNoInter	maxNoInter	minTotal	avgTotal	maxTotal
0	467866	1532134	0.707143	2.047090	11.982456	0.099291	0.971763	8.800000	0.099291	1.223318	11.982456
1	468550	1531450	0.552239	2.045703	5.962264	0.190476	0.972637	8.000000	0.190476	1.224030	8.000000
2	467868	1532132	0.821053	2.044861	5.962264	0.189189	0.971813	10.562500	0.189189	1.222835	10.562500
3	468332	1531668	0.510000	2.046499	4.370370	0.179487	0.972325	10.266667	0.179487	1.223860	10.266667
4	468988	1531012	0.594444	2.046046	6.226415	0.121739	0.971461	7.857143	0.121739	1.223444	7.857143
5	468768	1531232	0.655629	2.046186	4.545455	0.193548	0.971851	7.928571	0.193548	1.223658	7.928571
6	468634	1531366	0.661765	2.045159	4.694915	0.171053	0.972097	11.866667	0.171053	1.223534	11.866667
7	469692	1530308	0.713235	2.045782	4.793103	0.191781	0.972812	8.000000	0.191781	1.224795	8.000000
8	469928	1530072	0.721805	2.045866	4.370370	0.157303	0.971806	9.125000	0.157303	1.224172	9.125000
9	467596	1532404	0.588235	2.046945	5.333333	0.206349	0.971620	8.800000	0.206349	1.223029	8.800000
